id,tested_positive
0,8.495413
1,9.34051
2,5.2095385
3,9.1949625
4,16.754032
5,14.116601
6,10.329859
7,14.171
8,13.320905
9,10.954841
10,6.9057727
11,9.566839
12,9.567302
13,17.146389
14,11.761184
15,6.688485
16,9.508316
17,5.592155
18,8.203909
19,9.822143
20,19.98081
21,6.0569043
22,9.63567
23,10.348914
24,13.51755
25,18.677673
26,22.144806
27,8.707374
28,7.054515
29,15.448215
30,14.193618
31,3.779549
32,11.994782
33,9.212396
34,8.926885
35,6.450734
36,13.554972
37,16.880054
38,9.661873
39,14.022113
40,15.024995
41,25.029432
42,5.6536713
43,11.141611
44,24.038164
45,22.156532
46,17.42053
47,5.4404454
48,10.954127
49,6.0438433
50,4.4736996
51,8.284265
52,14.383122
53,16.34453
54,16.81329
55,19.458464
56,16.62526
57,10.837604
58,25.136429
59,8.391519
60,18.281425
61,19.391367
62,12.152631
63,16.897543
64,20.553345
65,12.925174
66,10.492421
67,6.158126
68,6.9074764
69,16.036236
70,21.999886
71,18.973158
72,5.948987
73,11.454686
74,17.905888
75,14.33526
76,16.520807
77,12.882693
78,10.156581
79,16.488523
80,23.039902
81,6.0491033
82,23.04873
83,17.150696
84,23.166801
85,9.469425
86,9.536462
87,15.792529
88,26.902267
89,5.3007016
90,15.496606
91,15.296105
92,19.201725
93,20.90018
94,21.217451
95,10.854638
96,30.739971
97,7.9936085
98,20.465961
99,18.713345
100,19.070961
101,17.76189
102,8.875005
103,16.78209
104,19.091103
105,12.671966
106,18.299452
107,18.843504
108,7.13813
109,20.71922
110,22.282959
111,18.675583
112,22.936981
113,21.955055
114,11.489838
115,7.0864143
116,19.3713
117,10.622905
118,22.661613
119,17.365952
120,21.822515
121,7.3326283
122,12.005418
123,11.775134
124,19.308914
125,9.045231
126,12.16323
127,15.170485
128,15.556868
129,9.699049
130,16.300045
131,6.320098
132,9.160714
133,6.163254
134,12.828795
135,18.85431
136,17.937698
137,21.384785
138,5.7472277
139,12.779349
140,11.705729
141,9.358752
142,11.376046
143,9.631287
144,23.320023
145,8.927636
146,11.667668
147,16.474447
148,24.046516
149,15.978511
150,11.785095
151,17.244343
152,10.951534
153,9.357953
154,21.171017
155,13.830998
156,13.402398
157,25.83764
158,21.880407
159,17.385311
160,12.7553
161,16.634838
162,10.05687
163,19.467026
164,9.713102
165,22.137932
166,11.435161
167,15.912552
168,10.855555
169,6.1066923
170,12.835086
171,13.993821
172,11.8411
173,12.836352
174,22.774353
175,5.9778805
176,5.7137566
177,22.121319
178,13.221062
179,12.821015
180,20.002037
181,17.8796
182,8.743469
183,11.252431
184,12.3613825
185,12.148338
186,13.800292
187,21.09708
188,7.3713083
189,10.07519
190,6.620504
191,5.5410223
192,19.695946
193,9.737693
194,9.480132
195,18.251041
196,18.761509
197,16.31816
198,6.6346645
199,20.775745
200,6.763213
201,11.994718
202,21.940994
203,19.864777
204,18.736229
205,9.024886
206,9.936678
207,7.792225
208,11.474117
209,20.121084
210,9.658514
211,13.605773
212,19.356781
213,5.490939
214,15.931848
215,16.975777
216,16.54137
217,10.794635
218,20.5816
219,9.228739
220,6.369356
221,9.682144
222,14.035367
223,20.404213
224,16.086239
225,9.429821
226,5.043419
227,14.960702
228,15.941624
229,12.094657
230,14.979482
231,5.9351783
232,11.148913
233,19.592436
234,14.936427
235,6.7930408
236,10.121129
237,16.987885
238,10.835378
239,16.48096
240,19.65421
241,15.30288
242,23.085072
243,16.471708
244,9.312137
245,6.267391
246,19.227406
247,9.171713
248,21.603752
249,18.30129
250,18.518848
251,13.7000065
252,16.847399
253,17.808758
254,14.309373
255,10.773139
256,20.89703
257,12.183867
258,14.27262
259,17.046898
260,16.333221
261,22.164116
262,11.691134
263,11.141082
264,16.530478
265,13.456068
266,15.300288
267,8.337861
268,11.109788
269,17.821548
270,11.519961
271,12.315116
272,17.948597
273,9.271054
274,16.758091
275,5.8780003
276,15.496065
277,8.545028
278,15.484411
279,8.874881
280,16.941504
281,11.762839
282,13.052496
283,13.050465
284,7.0804996
285,14.96992
286,6.791849
287,17.590364
288,10.46798
289,14.341417
290,17.02948
291,10.463801
292,16.31567
293,15.0333605
294,15.30931
295,17.641151
296,17.78506
297,12.807946
298,9.540578
299,12.10146
300,17.806885
301,14.027329
302,18.855625
303,15.8662615
304,15.8078575
305,18.219465
306,17.5821
307,14.55838
308,14.322773
309,17.968597
310,18.643948
311,18.294985
312,15.61018
313,11.844937
314,14.341626
315,9.523215
316,11.498271
317,20.438267
318,13.382399
319,17.476646
320,18.98935
321,8.359169
322,15.417023
323,10.582045
324,9.530641
325,17.452652
326,6.665292
327,18.931625
328,8.662301
329,12.813214
330,15.35092
331,15.205784
332,12.504333
333,15.346675
334,12.474289
335,10.118661
336,11.510757
337,15.246167
338,10.561095
339,6.57518
340,16.028278
341,15.424253
342,16.2458
343,13.202989
344,6.0831375
345,17.485792
346,12.23305
347,17.42889
348,21.015518
349,7.465847
350,12.7417145
