[ Train | 001/1000 ] loss = 3.57743, acc = 0.13345[ Valid | 001/1000 ] loss = 2.98359, acc = 0.14685 -> best
[ Train | 005/1000 ] loss = 2.24905, acc = 0.19692[ Valid | 005/1000 ] loss = 2.20027, acc = 0.21494 -> best
[ Train | 006/1000 ] loss = 2.21483, acc = 0.21121[ Valid | 006/1000 ] loss = 2.15903, acc = 0.24715 -> best
[ Train | 007/1000 ] loss = 2.18926, acc = 0.22821[ Valid | 007/1000 ] loss = 2.17662, acc = 0.26645 -> best
[ Train | 008/1000 ] loss = 2.17423, acc = 0.22077[ Valid | 008/1000 ] loss = 2.03485, acc = 0.27746 -> best
[ Train | 011/1000 ] loss = 2.09575, acc = 0.26030[ Valid | 011/1000 ] loss = 2.00494, acc = 0.30428 -> best
[ Train | 013/1000 ] loss = 2.05937, acc = 0.26917[ Valid | 013/1000 ] loss = 1.97929, acc = 0.30676 -> best
[ Train | 014/1000 ] loss = 2.04839, acc = 0.26647[ Valid | 014/1000 ] loss = 1.90621, acc = 0.31730 -> best
[ Train | 015/1000 ] loss = 2.01207, acc = 0.28534[ Valid | 015/1000 ] loss = 1.91426, acc = 0.32777 -> best
[ Train | 016/1000 ] loss = 1.99183, acc = 0.29377[ Valid | 016/1000 ] loss = 1.86966, acc = 0.32791 -> best
[ Train | 018/1000 ] loss = 1.93399, acc = 0.31639[ Valid | 018/1000 ] loss = 1.77880, acc = 0.37690 -> best
[ Train | 019/1000 ] loss = 1.88445, acc = 0.33536[ Valid | 019/1000 ] loss = 1.71130, acc = 0.39772 -> best
[ Train | 021/1000 ] loss = 1.80854, acc = 0.37151[ Valid | 021/1000 ] loss = 1.70754, acc = 0.41163 -> best
[ Train | 022/1000 ] loss = 1.76639, acc = 0.38232[ Valid | 022/1000 ] loss = 1.66823, acc = 0.41705 -> best
[ Train | 023/1000 ] loss = 1.74041, acc = 0.39518[ Valid | 023/1000 ] loss = 1.58346, acc = 0.45034 -> best
[ Train | 025/1000 ] loss = 1.67253, acc = 0.41948[ Valid | 025/1000 ] loss = 1.48917, acc = 0.48311 -> best
[ Train | 026/1000 ] loss = 1.63291, acc = 0.43649[ Valid | 026/1000 ] loss = 1.51811, acc = 0.48514 -> best
[ Train | 027/1000 ] loss = 1.60856, acc = 0.44210[ Valid | 027/1000 ] loss = 1.44537, acc = 0.50771 -> best
[ Train | 029/1000 ] loss = 1.56494, acc = 0.45776[ Valid | 029/1000 ] loss = 1.49865, acc = 0.50984 -> best
[ Train | 032/1000 ] loss = 1.46336, acc = 0.49498[ Valid | 032/1000 ] loss = 1.30286, acc = 0.55933 -> best
[ Train | 033/1000 ] loss = 1.44172, acc = 0.50504[ Valid | 033/1000 ] loss = 1.21269, acc = 0.58997 -> best
[ Train | 038/1000 ] loss = 1.32652, acc = 0.55179[ Valid | 038/1000 ] loss = 1.15071, acc = 0.60872 -> best
[ Train | 040/1000 ] loss = 1.27791, acc = 0.56337[ Valid | 040/1000 ] loss = 1.18107, acc = 0.61181 -> best
[ Train | 041/1000 ] loss = 1.26085, acc = 0.57464[ Valid | 041/1000 ] loss = 1.01975, acc = 0.66006 -> best
[ Train | 046/1000 ] loss = 1.17713, acc = 0.59901[ Valid | 046/1000 ] loss = 1.00825, acc = 0.67133 -> best
[ Train | 050/1000 ] loss = 1.10394, acc = 0.62312[ Valid | 050/1000 ] loss = 0.96470, acc = 0.68532 -> best
[ Train | 056/1000 ] loss = 1.01879, acc = 0.65935[ Valid | 056/1000 ] loss = 0.92550, acc = 0.69408 -> best
[ Train | 059/1000 ] loss = 0.99593, acc = 0.66129[ Valid | 059/1000 ] loss = 0.88004, acc = 0.70556 -> best
[ Train | 060/1000 ] loss = 0.97835, acc = 0.67155[ Valid | 060/1000 ] loss = 0.88027, acc = 0.71465 -> best
[ Train | 061/1000 ] loss = 0.94666, acc = 0.68161[ Valid | 061/1000 ] loss = 0.86298, acc = 0.72169 -> best
[ Train | 066/1000 ] loss = 0.92911, acc = 0.68946[ Valid | 066/1000 ] loss = 0.86297, acc = 0.72256 -> best
[ Train | 067/1000 ] loss = 0.90433, acc = 0.69391[ Valid | 067/1000 ] loss = 0.82354, acc = 0.73026 -> best
[ Train | 069/1000 ] loss = 0.90348, acc = 0.69345[ Valid | 069/1000 ] loss = 0.80844, acc = 0.73035 -> best
[ Train | 070/1000 ] loss = 0.87181, acc = 0.70458[ Valid | 070/1000 ] loss = 0.82872, acc = 0.74214 -> best
[ Train | 075/1000 ] loss = 0.84184, acc = 0.71131[ Valid | 075/1000 ] loss = 0.85472, acc = 0.74252 -> best
[ Train | 078/1000 ] loss = 0.80259, acc = 0.72839[ Valid | 078/1000 ] loss = 0.80169, acc = 0.74397 -> best
[ Train | 083/1000 ] loss = 0.75661, acc = 0.74020[ Valid | 083/1000 ] loss = 0.78299, acc = 0.75064 -> best
[ Train | 084/1000 ] loss = 0.76293, acc = 0.74367[ Valid | 084/1000 ] loss = 0.74701, acc = 0.75854 -> best
[ Train | 086/1000 ] loss = 0.74731, acc = 0.74579[ Valid | 086/1000 ] loss = 0.77500, acc = 0.76246 -> best
[ Train | 087/1000 ] loss = 0.75116, acc = 0.74899[ Valid | 087/1000 ] loss = 0.74362, acc = 0.76809 -> best
[ Train | 097/1000 ] loss = 0.66913, acc = 0.77708[ Valid | 097/1000 ] loss = 0.75503, acc = 0.76867 -> best
[ Train | 107/1000 ] loss = 0.63170, acc = 0.79065[ Valid | 107/1000 ] loss = 0.72760, acc = 0.77021 -> best
[ Train | 108/1000 ] loss = 0.60797, acc = 0.79298[ Valid | 108/1000 ] loss = 0.77529, acc = 0.78352 -> best
[ Train | 121/1000 ] loss = 0.54773, acc = 0.81173[ Valid | 121/1000 ] loss = 0.71896, acc = 0.78600 -> best
[ Train | 126/1000 ] loss = 0.52871, acc = 0.81806[ Valid | 126/1000 ] loss = 0.67743, acc = 0.79019 -> best
[ Train | 133/1000 ] loss = 0.50160, acc = 0.82839[ Valid | 133/1000 ] loss = 0.69041, acc = 0.79541 -> best
[ Train | 153/1000 ] loss = 0.41520, acc = 0.85603[ Valid | 153/1000 ] loss = 0.71833, acc = 0.79896 -> best
[ Train | 161/1000 ] loss = 0.40418, acc = 0.86165[ Valid | 161/1000 ] loss = 0.74101, acc = 0.79914 -> best
[ Train | 164/1000 ] loss = 0.39473, acc = 0.86546[ Valid | 164/1000 ] loss = 0.70741, acc = 0.80467 -> best
[ Train | 209/1000 ] loss = 0.26422, acc = 0.90885[ Valid | 209/1000 ] loss = 0.75228, acc = 0.80598 -> best
[ Train | 252/1000 ] loss = 0.20285, acc = 0.93000[ Valid | 252/1000 ] loss = 0.78252, acc = 0.81005 -> best
[ Train | 274/1000 ] loss = 0.17321, acc = 0.94214[ Valid | 274/1000 ] loss = 0.79754, acc = 0.81178 -> best
[ Train | 275/1000 ] loss = 0.20081, acc = 0.93296[ Valid | 275/1000 ] loss = 0.76156, acc = 0.81526 -> best
[ Train | 324/1000 ] loss = 0.14820, acc = 0.94825[ Valid | 324/1000 ] loss = 0.81290, acc = 0.81817 -> best
[ Train | 380/1000 ] loss = 0.11941, acc = 0.96141[ Valid | 380/1000 ] loss = 0.89004, acc = 0.82027 -> best
[ Train | 515/1000 ] loss = 0.07759, acc = 0.97347[ Valid | 515/1000 ] loss = 0.89987, acc = 0.82048 -> best
[ Train | 564/1000 ] loss = 0.06466, acc = 0.97692[ Valid | 564/1000 ] loss = 0.87982, acc = 0.82086 -> best
[ Train | 594/1000 ] loss = 0.06667, acc = 0.97980[ Valid | 594/1000 ] loss = 0.90524, acc = 0.82269 -> best
[ Train | 604/1000 ] loss = 0.06173, acc = 0.97986[ Valid | 604/1000 ] loss = 0.86810, acc = 0.82471 -> best
[ Train | 682/1000 ] loss = 0.05623, acc = 0.98141[ Valid | 682/1000 ] loss = 0.90003, acc = 0.82867 -> best
[ Train | 817/1000 ] loss = 0.03617, acc = 0.98841[ Valid | 817/1000 ] loss = 0.86224, acc = 0.83108 -> best
