ID,Answer
0,長劍
1,諸羅縣志》
2,袁晁率起義軍
3,柏林陸軍學院
4,長盤勝負
5,孫銘武
6,1874年
7,西漢的版圖向西擴張
8,英國
9,醜化對方
10,周星馳
11,秀吉
12,高架路線
13,預測
14,2004年
15,硫化氫
16,
17,外面的部份溫度會比內部核心的低。主序星或巨星的核心溫度至少有107克耳文，這樣的溫度在主序列恆星的核心要燃燒氫進行核融合反應是綽綽有餘的，並且能產生足夠的能量防止恆星進一部的崩潰
18,經濟
19,7920公里/小時
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1861年
25,拜占庭外交
26,拉丁文[UNK]
27,猶太基督徒所寫，也就是在羅馬帝國統治下基督的猶太門徒。寫下路加福音和使徒行傳的路加，則經常被認為是例外。一些學者認為路加是希臘人
28,1964年
29,黑客
30,文化大革命
31,《名人傳》
32,灣仔
33,俗雲萬里石塘
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,中華人民共和國集會遊行示威法》
39,南人
40,南宋
41,全國的科學家
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕
50,嘉靖帝
51,工學部第一教學樓。該樓為尚未與武漢大學合併之前的武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,米利都
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,愛心聖誕大行動，為孤苦無依者提供支援，使他們能夠渡過充滿愛心的聖誕節。《南華早報》在2010年4月13日的頭版報導中共中央總書記胡錦濤訪美國
60,路易十六
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,完全擺脫漢朝的控制
66,南京
67,民國
68,前蘇聯[UNK]-15戰鬥機
69,弘治十二年
70,中國
71,1994年
72,英國
73,氦
74,
75,交通運輸部
76,大韓生命保險公司大樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,全國人大
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1876年
99,1949年
100,大象
101,1915年
102,1600年
103,惡性腫瘤
104,美國
105,高盧帝國收復，高盧帝國的皇帝泰特里庫斯一世及其子二世心向羅馬，期望重回帝國的懷抱，在一夜的密談中泰特里庫斯的軍隊投降，奧勒良重新把三分的羅馬帝國
106,仁祖與王世子李[UNK]
107,十個
108,佛學論書
109,北海道大學
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,德國達姆斯特音樂節
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,秘書長
122,坦尚尼亞
123,
124,陽原王
125,未標準化
126,瑞派克路
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此
129,福建林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,蘇黎世協定
139,1939年
140,高速攝影
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,喬治麥高文
146,張仲景
147,《布告各省公啟
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1955年
153,就業保障制度
154,清光緒十七年
155,[UNK]
156,國共內戰戰況失利
157,六個月
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初，劉少奇患重病，由中南海特派的搶救組予以搶救。1969年10月17日
162,63位
163,天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,[UNK]
166,填海
167,日軍
168,農業
169,[UNK]
170,9月4日
171,1999年
172,《天淨沙》
173,近年
174,公元68年
175,南越國，中山屬南越國
176,幾何學
177,岑智明
178,普法戰爭
179,公元前362年
180,強力政府
181,28歲
182,2000年10月
183,保加利亞
184,便利使用
185,10度
186,日本社會黨
187,亞非
188,波士頓
189,1992年
190,網球
191,後箱館裁判所
192,明朝
193,文藝復興
194,2000年
195,2012年
196,考古發現
197,德兩國海軍
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,美食天堂
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,反貪污特警隊綠色行動專項打擊軍隊走私。但由於美軍在全球都駐有基地和部隊並且軍隊管理制度和人員素質問題國際毒品走私事件也頻有發生，以在韓國為例，在2012年上半年韓國海關
208,艾瑪·史東
209,在時域上數學形式為連續函式
210,傳播到日本
211,國王
212,威尼斯影展
213,真空帶
214,新北市
215,聯盟
216,甲午戰爭
217,克孜勒
218,主持一線工作
219,好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1449年
225,漢人君主
226,多瑙河
227,國立廣東大學
228,發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,南宋
233,1624年，原佔領澎湖的荷蘭人和明軍簽約，放棄其在澎湖的經營，轉而登陸臺灣南部，屬於荷蘭東印度公司的荷蘭人首先在「北汕尾」建立簡易的商館，同年，於「一[UNK][UNK]」築起了「熱蘭遮城」，以此作為統治中心，為增加米、糖等農作物產量
234,三倍
235,質量大於0.4太陽質量
236,颱風
237,2014年
238,1968年
239,30個
240,第一所美式大學
241,鋁土礦
242,現代化建築
243,阿美族
244,黑死病
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,洛杉磯湖人
250,溥[UNK]
251,副主席
252,發球權
253,廣東省政府委員會
254,韓國遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,天橋上的車站
259,下薩克森邦
260,法蘭西第二帝國
261,商業方面不是很特出，商業及人均[UNK]都不如東南亞的大城市，所以此時南洋的福建人平均的投資在上海及香港，在香港的主要是廣東廣府人和廣東閩人
262,全勝紀錄
263,夜間攔截任務
264,木衛三
265,濃度低
266,袁世凱
267,明朝
268,1848年
269,1979年
270,1997年10月簽署《經濟、社會、文化權利國際公約》以及在1998年
271,大韓民國
272,《南華早報》
273,
274,佛像
275,阿聯
276,交通基建
277,紅軍
278,田川氏
279,以天狼星在東方地平線的出現
280,起搏細胞
281,1985年
282,德語地區
283,女神大橋
284,1237年
285,東羅馬
286,安帝
287,奧地利
288,美國律師協會
289,1658年
290,清代
291,廣開土大王
292,胡安·林茲
293,日本
294,1998年1月1日
295,徑向速度
296,孟懷玉
297,鈣離子
298,383年
299,羅納爾迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,拉丁字母亦成為了南島語系諸語的書寫系統：過往在馬來群島上各種語言都是使用阿拉伯字母或其各自從婆羅米文字演變而來的字母，到這時都轉用了拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題，對大型飛機相隔距離很遠的控制面也可以提高反應與效率，此外，還能夠減少重量與這些裝備使用的空間
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,中生代侏羅紀
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,南極條約協商會議
314,1083種
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,鉀離子通道
321,1928年
322,期貨合約
323,十多個
324,300美元
325,米勒
326,大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,世界衛生組織做出的世界平均自殺率
332,輔音的發音中，阻塞維持的時間
333,朱一貴
334,愛爾蘭語
335,發球失誤
336,銃炮
337,1959年
338,1980年代
